obj_id,title,dc_type,dates,silver_tier,stratum,ddb_url,heuristic_class,notes,true_class
QZ74ZN5W7T7MOMZRTB56ET3CVFK7NTZ2,"Gerhardisches Grabmal von vier Seulen zusammen gesetzet/ Das ist/ Christliche Leichenpredigt gehalten über das Gleichnis/ von dem Lohn der Arbeiter im Weinberge : Als der HochEhrwürdige/ GroßAchtbare/ Hochgelahrte/ Herr Johann Friederich Gerhard/ der H. Schrift berühmter Doctor, und wohlverordneter Superintendens zu Eisenberg/ den 6. Maii dem HErrn sturbe/ und bald darauf den 9. eiusd. in der Stadt-Kirchen bey grosser ansehnlicher Versammlung daselbst beerdiget wurde/ auf vieler Anhalten zum Druck überreichet",Leichenpredigt|Monografie,1667 - ,0,Leichenpredigt,https://ddb.de/item/QZ74ZN5W7T7MOMZRTB56ET3CVFK7NTZ2,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
DK2R2FMCLC7V3Q2RDR4EQNT2DKHAVE7I,Der Kinder Gottes Seelige Heim-fahrt ins Ewige Leben : bei Christlicher Leich-Bestattung Der ... Frauen Annen Christinen Des ... Herrn Balthasar Rauppen ... Pfarr-Substituti zu Gerstungen Ehe-Liebsten/ Welche den 7. Maij dieses 1673sten Jahrs ... verstorben/ und den 9. eiusdem ... in der Kirchen daselbsten ... beygesezzet worden Nach Anleitung eines Prophetischen Spruchs erkläret,Leichenpredigt|Monografie,1673,0,Leichenpredigt,https://ddb.de/item/DK2R2FMCLC7V3Q2RDR4EQNT2DKHAVE7I,EARLY_MODERN_DE,"Early modern markers: ['Gottes', '', '']",
U75KZ7WZ5I5PNQEAIFNAXXR45GZAR6OZ,"Der in dem Herrn Gestorbenen Seelige Ruhe : Bey ... Leich-Begängnus Des ... Herrn Daniel Zum Jungen/ Gewesenen Schöffen und des Raths in dieser des Hl. Röm. Reichs-Stadt Franckfurt am Mayn. Als dessen Seele ... den 30. Novembris 1678. ... in die Ruhe ihres Herrn eingegangen war; Und darauf Dienstags den 3. Decembris ... in sein Ruh-Kämmerlein gelegt wurde ... Auß der Offenbar. Johannis c. XIV, 13. vorgestellet",Leichenpredigt|Monografie,1678,1,Leichenpredigt,https://ddb.de/item/U75KZ7WZ5I5PNQEAIFNAXXR45GZAR6OZ,EARLY_MODERN_DE,"Early modern markers: ['Herrn', 'Herrn', '']",
5RPJQCRW353CLHW2D2CHGUDATK2VVY6H,Leichpredigt/|| Vber den Christlichen ab=||schied vnd begrebnis der Durch=||leuchtigen Hochgebornen Fuerstin ... || Elizabeth/ Greuin || vnd Fraw zu Hennenberg/ geborne || Hertzogin zu Braunschweig || vnd Lunenburg/|| etc.|| Geschehen zu Schleusingen/|| Dinstags den xx. Augusti/|| Durch || M. Christofferum Fischer/|| der Fuerstlichen Graueschaft || Hennenberg Super=||intendeten.||,Leichenpredigt|Gelegenheitsschrift:Tod|Monografie,1566,0,Leichenpredigt,https://ddb.de/item/5RPJQCRW353CLHW2D2CHGUDATK2VVY6H,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
RMO6IJALVSI756TLMWPARW4LUOWN4KHY,Leichpredigt/|| Bey der Begrebnisz des ... || Herrn Joachim Mynsingers von Frun=||deck/ Iurisconsulti vnd des Fürstenthumbs || Braunschweig Erbcämme=||rers/ etc. Seligen/|| Vber || Des alten vnd gerechten Simeonis Lob=||gesang/ Lucae am 2. Cap.|| Durch || Daniel Hoffman Doct. den 13.Maij || Anno 88.zu Helmstadt gethan.||,Leichenpredigt|Epikedeion|Monografie,1588,0,Leichenpredigt,https://ddb.de/item/RMO6IJALVSI756TLMWPARW4LUOWN4KHY,LATIN,Single Latin indicator (Anno) + pre-1600 year,
QDFVNHY25XV3NNYPIDR2EKBETF5DYLYI,Christliche Erklärung nechst Sehnlichem Begehren Eines Davidischen Hertzens Bey Der d. 13. Maij. Anno 1675. in Cüstrin geschehenen Hochansehnlichen Leichbestattung/ Des Weil. Edlen/ Wohl-Ehrenvesten Herrn Adam Simon Böhmens/ Churfl. Wolbestalten Vice-Rentmeisters und Land-Zoll-Einnehmers ...,Leichenpredigt|Monografie,1675,0,Leichenpredigt,https://ddb.de/item/QDFVNHY25XV3NNYPIDR2EKBETF5DYLYI,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
CNRTULO7NKWA3IPWKRIEH5EICPVKYMCN,Parentatio Oder Christliche Leichpredigt/ Bey Deß ... Herrn Friederich Ulrich Hertzog zu Braunschweig und und Lüneburgk ... Fürstlichen Cörpers Beysetzung/ Im Thum zu Braunschweig ... am 23. April. dieses 1635. Jahrs,Leichenpredigt|Monografie,1635,0,Leichenpredigt,https://ddb.de/item/CNRTULO7NKWA3IPWKRIEH5EICPVKYMCN,EARLY_MODERN_DE,"Early modern markers: ['', '', 'Deß']",
NPBE2V2KRWMRI62VSCJ2PGXRXXALMWSC,"Der wahren Rechtfertigung vor Gott/ Grund/ Art und Ordnung/ Aus II. Corinth V, 21. Zu schuldiger Ehren-Gedächtnüs Des weyland WohlEhrwürdigen ... Herrn Christoff Nagels/ Wohlverdienten Predigers und Seelsorgers der Churfürstl. Garnison in Berlin/ Nachdem Derselbe den 15. Jan. 1699. seine Seele seinem him[m]lischen Vater in Christo Jesu zu treuen händen überlassen hatte/ Sein verblichener Cörper aber den 23. ejusd. in der Kirche zum H. Geist zu seiner Ruhestatt gebracht worden/ Den 26. Jan. darauff in der S. Mariae Kirchen/ in ansehnlicher Trauer-Versamlung/ vornemlich der anwesenden Soldatesque auch dero hohen und übrigen Officierer, vorgetragen/ und zum truck gegeben",Leichenpredigt|Monografie,1699,0,Leichenpredigt,https://ddb.de/item/NPBE2V2KRWMRI62VSCJ2PGXRXXALMWSC,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
YH3SW27CUXMPLHJZKDYRGYON2KHR6PV2,Ein Christliche Leichpredigt/|| Gehalten || Bey der Begrebnis || des weyland Edlen/ Ehrnvesten ... || Johannis Schröteri des eltern/ der Artzney ... || Doctoris/ der Vniver=||sitet Jena ersten gewesenen Rectoris: Welcher || ... verschieden den letzten || Martij/ vnd volgends den 2. Aprilis || ... bestattet || worden.|| Durch || Georgium Mylium der H. Schrifft Do=||ctorn vnd Professoren zu || Jhena.||,Leichenpredigt|Monografie,1593,0,Leichenpredigt,https://ddb.de/item/YH3SW27CUXMPLHJZKDYRGYON2KHR6PV2,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
EL3RGXQC3XYL3IXBINIUIUAUTS42734Z,Leichpredigt : Bey dem Begrebnüs Weyland des Woledlen/ gestrengen/ und Vesten/ Erichen vo[n] Rehden/ Fürstl. Br. alten Hoffmarschaln zu Wulffenbüttel ... Welcher den 20. Ianuarii ... zu Ahlem ... entschlaffen/ und folgens am 7. Martii alhier zu Pattensen in der Kirchen ... zur Erden bestetiget. Gethan/ und auff begehren in den Truck gegeben,Leichenpredigt|Monografie,1621,0,Leichenpredigt,https://ddb.de/item/EL3RGXQC3XYL3IXBINIUIUAUTS42734Z,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
